response_id,org_name,q3_individual_1,q3_several_1,q3_several_2,q3_several_3,q3_several_4,q3_several_5,q3_several_6,multi_org
R_8h9I2A79jUPDFkN,University of California Santa Barbara - SBC LTER,University of California Santa Barbara - SBC LTER,NA,NA,NA,NA,NA,NA,NA
R_6mwVifciTCq64Hs,University of California Santa Barbara- SONGS & MPA,University of California Santa Barbara- SONGS & MPA,NA,NA,NA,NA,NA,NA,NA
R_7DMyWjdBdNj6bfz,University of California Santa Barbara - Seaweed CDR Project,NA,University of California Santa Barbara - Seaweed CDR Project,University of California Santa Barbara - SBC LTER,NA,NA,NA,NA,"University of California Santa Barbara - Seaweed CDR Project,University of California Santa Barbara - SBC LTER"
R_7L1g8rvgxtmyocF,Woods Hole Oceanographic Institution,NA,Woods Hole Oceanographic Institution,University of California Santa Barbara,NA,NA,NA,NA,"Woods Hole Oceanographic Institution,University of California Santa Barbara"
R_59T9thuNU6T04lX,University of California Santa Barbara- SONGS,NA,University of California Santa Barbara- SONGS,NA,NA,NA,NA,NA,University of California Santa Barbara- SONGS
R_5rju7W12HtPajKX,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,The Sea Ranch Association - Coastal Stewardship Task Force,California Department of Fish and Wildlife,NA,NA,NA,"California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,The Sea Ranch Association - Coastal Stewardship Task Force,California Department of Fish and Wildlife"
R_1LY9bZGoDJpKr8U,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,Reef Check,California MPA Monitoring Program,California Seaweed Festival,Surfrider Foundation - Surfrider Humboldt,NA,"California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,Reef Check,California MPA Monitoring Program,California Seaweed Festival,Surfrider Foundation - Surfrider Humboldt"
R_3uHTLrh3ea49nmF,California State Polytechnic University Humboldt - Aquaculture,California State Polytechnic University Humboldt - Aquaculture,NA,NA,NA,NA,NA,NA,NA
R_7PSlOsSbZJnSQVt,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,NA,NA,NA,NA,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization
R_1gumT7uft6SpkJY,California State Polytechnic University Humboldt - Aquaculture,California State Polytechnic University Humboldt - Aquaculture,NA,NA,NA,NA,NA,NA,NA
